Gauge	q_mean	runoff_ratio	slope_fdc	baseflow_index	stream_elas	q5	q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	hfd_mean	HUC2	Years	Mean	Std	sd_Qann-QBar	sd_Qmon-Qann	sd_Qday-Qmon	Med	fdc20	fdc80	Dry	PctDry	AREA_(KM^2)	LAT	LONG	GAGE_NAME
1013500	1.6991545075335601	0.5434374665902221	1.5282185353897602	0.5852259557795079	1.84532416164806	0.24110612647571103	6.37302139711473	6.1	8.71428571428571	41.35	20.170731707317103	0.0	207.25	1.0	34.0	1545.3440695708189	1787.5045102144336	0.2306760996019446	0.9597220511095532	0.3637569488824167	876.0	1.4236311791787544	0.27372544945118776	0.0	0.0	2252.7	47.23739000000001	-68.58264	                  Fish River near Fort Kent, Maine
1022500	2.1730621480079098	0.6022689294829909	1.77627980351081	0.5544784479304089	1.70278237133413	0.20473435527604997	7.12304944397925	3.9	2.29411764705882	65.15	17.1447368421053	0.0	166.25	1.0	34.0	506.3021982446252	587.2708838903794	0.2384115988258318	0.7646455362480367	0.6098108100948647	313.0	1.4564424222462469	0.25281343917482946	0.0	0.0	573.6	44.60797	-67.93524000000001	           Narraguagus River at Cherryfield, Maine
1030500	1.82010754402741	0.555858982560286	1.8711104060563202	0.508440712580478	1.37750520315631	0.107149196809004	6.85488650393008	12.25	7.205882352941179	89.25	19.402173913043498	0.0	184.9	1.0	34.0	2735.2642724857074	3410.584297143076	0.2582437793848749	1.0065986159205391	0.5864571676466435	1420.0	1.5391565788903117	0.18243209806799665	0.0	0.0	3676.17	45.50097	-68.30596	       Mattawamkeag River near Mattawamkeag, Maine
1031500	2.0302422802269398	0.5762892791607509	1.49401920331253	0.44509052601204796	1.64869298694367	0.11134535348053802	8.01050285897128	18.9	3.28695652173913	94.8	14.697674418604699	0.0	181.0	1.0	34.0	629.4718415331348	1053.9187322065743	0.2657217992708367	1.0387221008838583	0.8396023855106579	277.0	1.359870201525037	0.16204060812564694	0.0	0.0	769.05	45.17501	-69.3147	      Piscataquis River near Dover-Foxcroft, Maine
1047000	2.18286957464999	0.6568684349794399	1.41593871068099	0.473464930849723	1.5102375492601698	0.19645805172705103	8.09514821362971	14.95	2.57758620689655	71.55	12.776785714285701	0.0	184.8	1.0	35.0	798.1070869837297	1256.8825631490565	0.2598440146757563	0.9407255374518037	0.8134866730915511	364.0	1.3406722198694283	0.21676289162374876	0.0	0.0	909.1	44.8692	-69.9551	        Carrabassett River near North Anson, Maine
1052500	2.40510460354471	0.6446518199544921	1.30106242481155	0.459699942400979	1.02555547613101	0.30596536445819	8.66901865964871	14.1	2.51785714285714	58.9	7.3167701863354	0.0	197.2	1.0	35.0	364.92865300375473	569.9371076067264	0.15794826855386498	0.9272386375090876	0.8700517152163721	175.0	1.3071048164450167	0.2274417185847723	0.0	0.0	383.82	44.87739000000001	-71.05749	         Diamond River near Wentworth Location, NH
1054200	2.73174157104064	0.671662858004331	1.31964515365059	0.43704981753740796	1.3578082898930999	0.256851228674037	10.0956051354616	16.05	1.88823529411765	82.2	9.96363636363636	0.0	183.45	1.0	35.0	199.6487797246558	386.2535025772893	0.2221040306839914	0.9084618848090644	1.106285076896844	88.0	1.1820758450188262	0.19534304218531448	0.0	0.0	180.98	44.39044000000001	-70.97964	                       Wild River at Gilead, Maine
1055000	2.27989748102746	0.6524836267999721	1.3493118339144798	0.43813165837399	1.366587125286	0.18546495118667103	8.441583672959629	16.25	2.05696202531646	83.6	8.94117647058824	0.0	186.05	1.0	35.0	225.3741551939925	406.9094958094875	0.24005312416329144	0.9349277434686856	1.0215497745968052	101.0	1.2512526103859	0.19079383775387834	0.0	0.0	250.64	44.64275	-70.58878	                   Swift River near Roxbury, Maine
1057000	1.8235506065839198	0.510727007805829	1.5332322341056899	0.47467747080445605	1.28068087951381	0.0781694470346097	6.866096675597349	13.85	2.42982456140351	82.95	13.825	0.0	178.05	1.0	35.0	143.19492959949932	231.3163255776664	0.2640451828743946	0.9630116173935148	0.8471152558738914	72.0	1.3547965737515768	0.18157067483268555	0.0	0.0	190.92	44.30399	-70.53968	 Little Androscoggin River near South Paris, Maine
1073000	1.70319404184962	0.486206602514752	1.78010735061656	0.501891678728164	2.27878874265298	0.0658152271358498	5.78423611407704	7.85	2.2112676056338	96.0	12.467532467532498	0.0	168.75	1.0	34.0	21.32744584910219	36.23737686034495	0.3080510218386092	0.9180365209132776	0.820199961252883	11.0	1.4066381981348652	0.1453526138072694	0.0	0.0	31.3	43.1487	-70.96506	                      OYSTER RIVER NEAR DURHAM, NH
1078000	1.75580345695999	0.492803378546533	1.4994912962233702	0.491188699409706	1.52665366269292	0.14517125416364698	6.616289886730889	12.05	3.0506329113923996	69.55	12.419642857142902	0.0	180.7	1.0	34.0	155.56943393187868	225.91901305286163	0.29074750494512025	0.8986672588199155	0.7674553957412539	80.0	1.3370235703954545	0.21212393184158648	0.0	0.0	222.46	43.56646	-71.74786	                      SMITH RIVER NEAR BRISTOL, NH
1118300	2.12957506957608	0.546404882602351	2.2178691332731404	0.5591720333761171	0.38285720916416793	0.0590389851725097	6.61236633932108	3.5	1.3725490196078403	89.5	11.776315789473697	0.0	155.4	1.0	33.0	9.064402429634653	11.779955917480107	0.2424357957598696	0.7977493385818866	0.8296182203830397	5.9	1.5445033590111918	0.1654825027511991	0.0	0.0	10.36	41.47482	-71.83424000000002	       PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.
1121000	1.9583406123461597	0.5264935781570801	1.94004870177334	0.5363064036140001	1.16604444020309	0.0801014057617401	6.025018781209151	5.9	1.475	85.0	9.883720930232561	0.0	156.35	1.0	33.0	55.77963641030031	83.58246740817472	0.2737573659244206	0.7827617982477223	0.8876558954965964	35.0	1.3983597782217974	0.17927689464382018	0.0	0.0	70.25	41.843709999999994	-72.16897	            MOUNT HOPE RIVER NEAR WARRENVILLE, CT.
1123000	1.73733529181831	0.45429529711326005	1.8089075510808998	0.585541652897871	0.963139983871497	0.216844846040934	5.0282862850071695	4.55	1.4	58.1	9.1496062992126	0.0	159.1	1.0	33.0	56.351119960179176	78.24243154076194	0.2442215870622514	0.7431438820071531	0.7165442454782252	36.0	1.38417834561441	0.230696390935735	0.0	0.0	77.85	41.67177	-72.0523	                    LITTLE RIVER NEAR HANOVER, CT.
